session_id,user_id,session_start,session_end,traffic_source,campaign_name,device_type,browser,operating_system,landing_page
S85,U4030,2026-05-20 20:14:53,2026-05-20 20:39:53,Email,Dog,Tablet,Edge,Windows,/offers
S86,U860,2026-05-21 17:55:28,2026-05-21 18:01:28,Facebook,Rise,Tablet,Safari,Android,/products
S87,U19950,2026-05-24 06:01:43,2026-05-24 06:09:43,Organic,Parent,Mobile,Chrome,Windows,/home
S88,U16211,2026-05-20 06:37:39,2026-05-20 07:16:39,Direct,Term,Mobile,Firefox,iOS,/offers
S89,U5542,2026-05-22 02:05:33,2026-05-22 02:10:33,Instagram,Ever,Desktop,Chrome,Windows,/home
S90,U4126,2026-05-18 20:50:46,2026-05-18 20:57:46,Google Ads,Act,Tablet,Chrome,Android,/products
S91,U13288,2026-05-22 11:25:28,2026-05-22 11:30:28,Instagram,Discussion,Desktop,Firefox,Windows,/home
S92,U8272,2026-05-24 08:19:46,2026-05-24 08:38:46,Instagram,Save,Mobile,Safari,Windows,/home
S93,U18878,2026-05-23 11:52:21,2026-05-23 11:57:21,Organic,Coach,Tablet,Firefox,Android,/home
S94,U10706,2026-05-20 20:26:40,2026-05-20 20:54:40,Google Ads,Care,Mobile,Edge,Windows,/products
S95,U1069,2026-05-20 05:38:29,2026-05-20 06:11:29,Organic,Fact,Tablet,Chrome,Windows,/home
S96,U20236,2026-05-19 17:06:35,2026-05-19 17:22:35,Email,Something,Tablet,Firefox,Android,/offers
S97,U24535,2026-05-22 01:06:16,2026-05-22 01:39:16,Facebook,Conference,Desktop,Chrome,Windows,/home
S98,U2379,2026-05-22 20:13:16,2026-05-22 20:22:16,Direct,Voice,Desktop,Firefox,Windows,/home
S99,U10321,2026-05-23 14:51:33,2026-05-23 15:21:33,Organic,Lead,Desktop,Firefox,iOS,/offers
S100,U18216,2026-05-19 10:53:51,2026-05-19 11:18:51,Email,Physical,Tablet,Firefox,Android,/home
S101,U24634,2026-05-20 04:18:30,2026-05-20 04:51:30,Google Ads,Something,Mobile,Chrome,Windows,/products
S102,U18838,2026-05-23 03:21:52,2026-05-23 03:59:52,Email,While,Mobile,Safari,Windows,/products
S103,U4046,2026-05-21 16:32:53,2026-05-21 16:41:53,Direct,Which,Tablet,Edge,iOS,/products
S104,U10739,2026-05-19 10:51:33,2026-05-19 10:54:33,Instagram,Hope,Tablet,Edge,Android,/offers
S105,U22147,2026-05-20 12:39:52,2026-05-20 13:18:52,Facebook,Before,Tablet,Firefox,Windows,/products
S106,U4866,2026-05-20 10:03:12,2026-05-20 10:39:12,Google Ads,Up,Mobile,Chrome,Android,/home
S107,U7191,2026-05-22 04:06:21,2026-05-22 04:22:21,Organic,School,Tablet,Edge,Windows,/products
S108,U16350,2026-05-23 00:03:17,2026-05-23 00:21:17,Google Ads,Media,Mobile,Safari,iOS,/products
S109,U16267,2026-05-21 20:11:50,2026-05-21 20:15:50,Organic,Safe,Mobile,Firefox,iOS,/products
S110,U5852,2026-05-23 09:01:32,2026-05-23 09:19:32,Email,Rule,Mobile,Firefox,MacOS,/offers
S111,U6508,2026-05-18 16:40:49,2026-05-18 17:16:49,Google Ads,Human,Mobile,Firefox,iOS,/products
S112,U11643,2026-05-19 02:15:45,2026-05-19 02:46:45,Facebook,Individual,Mobile,Safari,Windows,/products
S113,U18540,2026-05-24 01:37:45,2026-05-24 01:38:45,Organic,Bar,Desktop,Safari,Android,/home
S114,U23103,2026-05-19 01:35:04,2026-05-19 01:42:04,Google Ads,Method,Mobile,Edge,Windows,/products
S115,U8656,2026-05-18 22:23:01,2026-05-18 22:25:01,Instagram,Position,Tablet,Safari,MacOS,/offers
S116,U23378,2026-05-20 01:07:41,2026-05-20 01:26:41,Google Ads,All,Tablet,Chrome,Windows,/home
S117,U12969,2026-05-20 22:43:41,2026-05-20 23:10:41,Direct,Wall,Desktop,Safari,Windows,/offers
S118,U23400,2026-05-23 10:02:26,2026-05-23 10:24:26,Direct,Especially,Mobile,Safari,Android,/products
S119,U15087,2026-05-22 22:03:25,2026-05-22 22:39:25,Instagram,Condition,Mobile,Safari,Android,/offers
S120,U18880,2026-05-18 18:29:19,2026-05-18 18:36:19,Instagram,Skill,Tablet,Safari,Android,/products
S121,U24961,2026-05-23 04:49:29,2026-05-23 05:03:29,Organic,Seat,Desktop,Edge,MacOS,/offers
S122,U3371,2026-05-22 01:19:31,2026-05-22 01:58:31,Email,Who,Tablet,Safari,iOS,/products
S123,U6734,2026-05-20 10:03:36,2026-05-20 10:20:36,Instagram,Truth,Mobile,Edge,MacOS,/home
S124,U20249,2026-05-21 23:24:17,2026-05-21 23:47:17,Direct,Risk,Desktop,Firefox,MacOS,/products
S125,U21406,2026-05-19 06:38:25,2026-05-19 06:56:25,Google Ads,Memory,Desktop,Firefox,iOS,/products
S126,U10159,2026-05-21 18:32:21,2026-05-21 18:48:21,Google Ads,Piece,Mobile,Edge,iOS,/offers
S127,U10311,2026-05-18 19:08:12,2026-05-18 19:30:12,Google Ads,Enter,Mobile,Firefox,Windows,/home
S128,U6407,2026-05-23 19:58:20,2026-05-23 20:25:20,Instagram,Form,Mobile,Firefox,MacOS,/home
S129,U20835,2026-05-20 03:02:56,2026-05-20 03:16:56,Facebook,About,Desktop,Edge,iOS,/products
S130,U12063,2026-05-23 11:55:56,2026-05-23 11:56:56,Email,Wish,Desktop,Safari,Android,/offers
S131,U9303,2026-05-21 02:14:12,2026-05-21 02:45:12,Google Ads,Ask,Desktop,Firefox,MacOS,/products
S132,U20742,2026-05-19 02:57:34,2026-05-19 03:37:34,Email,Grow,Mobile,Chrome,Windows,/offers
S133,U2642,2026-05-18 16:34:42,2026-05-18 16:35:42,Instagram,From,Mobile,Firefox,MacOS,/offers
S134,U16392,2026-05-22 14:27:39,2026-05-22 15:00:39,Facebook,Effort,Tablet,Edge,iOS,/products
S135,U15795,2026-05-19 16:36:34,2026-05-19 16:42:34,Email,Three,Tablet,Edge,iOS,/offers
S136,U4961,2026-05-23 00:24:04,2026-05-23 00:40:04,Instagram,Window,Mobile,Safari,iOS,/offers
S137,U19129,2026-05-23 17:11:47,2026-05-23 17:15:47,Google Ads,Material,Mobile,Edge,Android,/home
S138,U8037,2026-05-20 21:03:40,2026-05-20 21:16:40,Facebook,Agreement,Tablet,Chrome,MacOS,/products
S139,U21890,2026-05-19 13:10:08,2026-05-19 13:16:08,Facebook,Any,Tablet,Edge,MacOS,/home
S140,U14668,2026-05-20 18:25:17,2026-05-20 18:59:17,Direct,Kitchen,Mobile,Firefox,iOS,/home
S141,U13009,2026-05-19 00:19:25,2026-05-19 00:37:25,Direct,Perform,Mobile,Safari,iOS,/offers
S142,U2640,2026-05-23 23:32:07,2026-05-23 23:43:07,Instagram,Would,Tablet,Chrome,iOS,/home
S143,U5146,2026-05-22 02:45:45,2026-05-22 03:00:45,Instagram,Market,Desktop,Chrome,iOS,/offers
S144,U2544,2026-05-19 15:38:07,2026-05-19 16:06:07,Email,Activity,Tablet,Firefox,MacOS,/offers
S145,U24565,2026-05-20 10:37:08,2026-05-20 11:10:08,Organic,Soldier,Tablet,Firefox,iOS,/offers
S146,U16581,2026-05-19 08:41:34,2026-05-19 08:58:34,Instagram,Include,Desktop,Chrome,iOS,/home
S147,U8919,2026-05-22 10:53:44,2026-05-22 11:12:44,Direct,From,Tablet,Firefox,MacOS,/products
S148,U12785,2026-05-20 09:06:01,2026-05-20 09:21:01,Instagram,Politics,Desktop,Edge,iOS,/offers
S149,U12891,2026-05-23 04:38:07,2026-05-23 04:41:07,Instagram,Whatever,Tablet,Firefox,Android,/offers
S150,U18243,2026-05-20 12:47:37,2026-05-20 13:03:37,Email,Blood,Desktop,Edge,MacOS,/offers
S151,U15489,2026-05-20 12:36:44,2026-05-20 13:12:44,Instagram,Show,Desktop,Safari,iOS,/offers
S152,U13781,2026-05-19 19:49:23,2026-05-19 20:19:23,Organic,Successful,Desktop,Firefox,MacOS,/offers
S153,U22112,2026-05-24 09:14:49,2026-05-24 09:36:49,Instagram,Yet,Desktop,Firefox,iOS,/products
S154,U13359,2026-05-19 09:22:25,2026-05-19 09:51:25,Email,Player,Tablet,Chrome,MacOS,/offers
S155,U19561,2026-05-19 01:55:27,2026-05-19 02:28:27,Organic,Foot,Desktop,Safari,MacOS,/home
S156,U22106,2026-05-20 20:30:21,2026-05-20 20:40:21,Email,Fly,Tablet,Firefox,Windows,/offers
S157,U553,2026-05-22 15:41:59,2026-05-22 15:46:59,Direct,Than,Tablet,Chrome,Windows,/products
S158,U14986,2026-05-21 22:07:37,2026-05-21 22:37:37,Google Ads,Money,Mobile,Safari,Android,/offers
S159,U14297,2026-05-19 22:23:36,2026-05-19 22:54:36,Organic,Back,Mobile,Chrome,Android,/offers
S160,U5998,2026-05-23 08:59:41,2026-05-23 09:11:41,Direct,Idea,Desktop,Firefox,iOS,/offers
S161,U20852,2026-05-19 10:52:54,2026-05-19 11:18:54,Email,Control,Tablet,Chrome,MacOS,/products
S162,U13268,2026-05-19 01:28:42,2026-05-19 01:50:42,Direct,Bar,Desktop,Edge,iOS,/home
S163,U219,2026-05-24 09:28:08,2026-05-24 10:05:08,Google Ads,Financial,Mobile,Firefox,Android,/offers
S164,U12982,2026-05-22 19:28:22,2026-05-22 20:00:22,Direct,Ball,Desktop,Chrome,iOS,/home
S165,U16433,2026-05-22 02:59:59,2026-05-22 03:08:59,Facebook,Eight,Desktop,Firefox,iOS,/products
S166,U12718,2026-05-21 20:18:07,2026-05-21 20:57:07,Organic,Could,Tablet,Chrome,MacOS,/offers
S167,U11412,2026-05-19 14:53:27,2026-05-19 15:02:27,Email,Apply,Tablet,Edge,Windows,/offers
S168,U21483,2026-05-19 05:32:39,2026-05-19 05:52:39,Direct,Blue,Mobile,Chrome,iOS,/offers
S169,U13968,2026-05-18 16:53:21,2026-05-18 16:56:21,Email,Near,Tablet,Firefox,Android,/offers
S170,U11454,2026-05-19 16:25:53,2026-05-19 16:35:53,Google Ads,Good,Tablet,Chrome,MacOS,/products
S171,U24788,2026-05-23 23:57:17,2026-05-24 00:08:17,Google Ads,Lawyer,Desktop,Chrome,Windows,/home
S172,U18335,2026-05-20 23:41:17,2026-05-20 23:56:17,Organic,Morning,Tablet,Safari,MacOS,/home
S173,U18578,2026-05-21 00:00:43,2026-05-21 00:38:43,Facebook,She,Desktop,Firefox,Android,/offers
S174,U17177,2026-05-18 17:18:33,2026-05-18 17:39:33,Organic,Into,Tablet,Safari,iOS,/products
S175,U9280,2026-05-22 21:21:37,2026-05-22 21:55:37,Instagram,Fire,Tablet,Edge,iOS,/products
S176,U12746,2026-05-20 12:30:16,2026-05-20 12:57:16,Organic,Tend,Desktop,Chrome,Android,/home
S177,U14573,2026-05-21 03:24:30,2026-05-21 03:45:30,Instagram,Rise,Mobile,Edge,Windows,/home
S178,U10775,2026-05-21 15:09:52,2026-05-21 15:38:52,Facebook,Exactly,Tablet,Safari,MacOS,/home
S179,U23933,2026-05-20 07:11:33,2026-05-20 07:12:33,Email,Executive,Mobile,Safari,Windows,/products
S180,U4642,2026-05-24 03:37:23,2026-05-24 04:02:23,Instagram,President,Mobile,Chrome,Windows,/offers
S181,U10824,2026-05-21 08:06:56,2026-05-21 08:16:56,Instagram,Top,Desktop,Safari,MacOS,/products
S182,U5232,2026-05-19 11:34:29,2026-05-19 11:56:29,Direct,Room,Desktop,Firefox,iOS,/products
S183,U7849,2026-05-23 07:45:56,2026-05-23 07:54:56,Email,Us,Tablet,Chrome,Windows,/offers
S184,U11751,2026-05-22 05:32:00,2026-05-22 06:10:00,Instagram,Ever,Tablet,Edge,Windows,/products
S185,U3127,2026-05-19 07:27:40,2026-05-19 07:51:40,Direct,Should,Mobile,Edge,iOS,/home
S186,U8667,2026-05-18 17:37:55,2026-05-18 17:40:55,Email,Very,Tablet,Firefox,Windows,/home
S187,U20338,2026-05-20 13:38:58,2026-05-20 14:18:58,Instagram,Young,Tablet,Safari,Windows,/offers
S188,U5705,2026-05-24 01:55:01,2026-05-24 02:31:01,Instagram,Seek,Tablet,Chrome,Windows,/offers
S189,U17095,2026-05-22 16:01:19,2026-05-22 16:26:19,Facebook,Gun,Desktop,Firefox,MacOS,/offers
S190,U18378,2026-05-21 17:56:30,2026-05-21 18:01:30,Facebook,Republican,Tablet,Firefox,Android,/products
S191,U24653,2026-05-22 00:25:06,2026-05-22 00:38:06,Direct,Seat,Desktop,Edge,Windows,/products
S192,U1794,2026-05-20 19:13:14,2026-05-20 19:32:14,Organic,Produce,Mobile,Chrome,Windows,/offers
S193,U5309,2026-05-22 20:14:47,2026-05-22 20:31:47,Instagram,Fill,Desktop,Edge,iOS,/home
S194,U22021,2026-05-24 05:10:36,2026-05-24 05:25:36,Instagram,Industry,Tablet,Safari,MacOS,/home
S195,U4706,2026-05-24 06:00:25,2026-05-24 06:29:25,Direct,Church,Tablet,Chrome,Android,/home
S196,U13476,2026-05-18 21:19:24,2026-05-18 21:29:24,Instagram,Tell,Mobile,Edge,Android,/offers
S197,U10273,2026-05-20 16:51:55,2026-05-20 17:22:55,Google Ads,Natural,Desktop,Firefox,Windows,/home
S198,U23905,2026-05-18 17:53:13,2026-05-18 17:59:13,Google Ads,Difficult,Tablet,Edge,MacOS,/products
S199,U12042,2026-05-21 16:48:16,2026-05-21 17:01:16,Google Ads,Kind,Tablet,Safari,Android,/home
S200,U23701,2026-05-24 01:06:54,2026-05-24 01:07:54,Facebook,Produce,Tablet,Edge,iOS,/products
S201,U5135,2026-05-23 00:19:00,2026-05-23 00:47:00,Organic,Myself,Mobile,Firefox,Android,/home
S202,U21243,2026-05-23 01:54:55,2026-05-23 02:24:55,Email,At,Desktop,Edge,MacOS,/offers
S203,U1621,2026-05-21 22:15:37,2026-05-21 22:20:37,Instagram,Together,Mobile,Edge,Windows,/products
S204,U6551,2026-05-22 13:59:29,2026-05-22 14:12:29,Facebook,Walk,Desktop,Edge,Android,/offers
S205,U7833,2026-05-24 04:06:34,2026-05-24 04:14:34,Email,Rule,Tablet,Firefox,MacOS,/offers
S206,U2881,2026-05-22 21:20:00,2026-05-22 21:52:00,Facebook,Kitchen,Mobile,Safari,MacOS,/home
S207,U11880,2026-05-23 04:53:22,2026-05-23 04:59:22,Instagram,Federal,Tablet,Edge,MacOS,/offers
S208,U7727,2026-05-24 09:33:27,2026-05-24 09:51:27,Organic,Show,Desktop,Edge,Android,/offers
S209,U3228,2026-05-19 05:06:40,2026-05-19 05:12:40,Direct,Say,Mobile,Chrome,iOS,/home
S210,U5853,2026-05-19 11:00:11,2026-05-19 11:28:11,Instagram,Reach,Mobile,Chrome,Windows,/home
S211,U21942,2026-05-18 13:32:12,2026-05-18 13:41:12,Instagram,Movement,Mobile,Chrome,MacOS,/home
S212,U7625,2026-05-24 05:22:18,2026-05-24 05:28:18,Email,Speak,Tablet,Safari,iOS,/products
S213,U16340,2026-05-20 06:00:54,2026-05-20 06:19:54,Email,Learn,Desktop,Safari,Windows,/home
S214,U23352,2026-05-23 10:13:55,2026-05-23 10:29:55,Direct,Into,Tablet,Safari,Windows,/home
S215,U2637,2026-05-20 05:25:04,2026-05-20 05:56:04,Facebook,Congress,Mobile,Chrome,Android,/home
S216,U17510,2026-05-19 23:46:01,2026-05-20 00:17:01,Organic,Experience,Desktop,Chrome,Android,/offers
S217,U18849,2026-05-22 06:03:00,2026-05-22 06:16:00,Organic,Hot,Desktop,Safari,MacOS,/offers
S218,U5999,2026-05-23 17:36:08,2026-05-23 18:02:08,Facebook,Friend,Desktop,Chrome,Windows,/home
S219,U14073,2026-05-19 06:41:03,2026-05-19 07:13:03,Direct,Claim,Mobile,Safari,Windows,/offers
S220,U4317,2026-05-19 16:29:22,2026-05-19 16:53:22,Instagram,Single,Desktop,Safari,Windows,/offers
S221,U21705,2026-05-24 02:08:13,2026-05-24 02:10:13,Google Ads,Student,Mobile,Edge,Windows,/home
S222,U13420,2026-05-22 03:49:22,2026-05-22 04:15:22,Direct,Mission,Desktop,Edge,MacOS,/home
S223,U17389,2026-05-18 17:10:37,2026-05-18 17:39:37,Organic,Sit,Tablet,Chrome,Android,/products
S224,U8601,2026-05-23 04:34:34,2026-05-23 05:04:34,Google Ads,White,Tablet,Edge,MacOS,/home
S225,U13845,2026-05-18 14:25:29,2026-05-18 14:50:29,Instagram,Body,Desktop,Edge,MacOS,/products
S226,U22932,2026-05-19 17:04:34,2026-05-19 17:37:34,Instagram,Certainly,Tablet,Safari,iOS,/home
S227,U17184,2026-05-23 17:44:49,2026-05-23 18:04:49,Organic,Old,Desktop,Firefox,Windows,/offers
S228,U12616,2026-05-19 14:21:23,2026-05-19 14:49:23,Direct,Win,Desktop,Firefox,Android,/offers
S229,U16713,2026-05-24 03:21:57,2026-05-24 03:38:57,Direct,Most,Desktop,Edge,Android,/offers
S230,U21829,2026-05-23 00:25:57,2026-05-23 00:29:57,Direct,Hair,Desktop,Edge,MacOS,/products
S231,U15767,2026-05-19 15:06:16,2026-05-19 15:25:16,Google Ads,More,Mobile,Safari,iOS,/home
S232,U16817,2026-05-20 23:49:20,2026-05-20 23:50:20,Organic,Himself,Tablet,Chrome,MacOS,/offers
S233,U9453,2026-05-23 18:36:02,2026-05-23 19:16:02,Google Ads,Court,Tablet,Chrome,iOS,/offers
S234,U4779,2026-05-23 07:11:37,2026-05-23 07:30:37,Organic,Help,Tablet,Safari,Windows,/home
S235,U16473,2026-05-21 11:02:35,2026-05-21 11:19:35,Facebook,Board,Mobile,Edge,iOS,/products
S236,U5442,2026-05-18 16:26:41,2026-05-18 17:00:41,Facebook,General,Mobile,Chrome,MacOS,/home
S237,U5980,2026-05-20 02:55:43,2026-05-20 03:34:43,Facebook,Prepare,Tablet,Edge,iOS,/offers
S238,U544,2026-05-23 09:40:36,2026-05-23 10:09:36,Instagram,Own,Desktop,Firefox,Android,/home
S239,U9327,2026-05-24 00:33:54,2026-05-24 01:05:54,Organic,Again,Mobile,Safari,Windows,/offers
S240,U2977,2026-05-19 22:46:50,2026-05-19 22:54:50,Google Ads,Tough,Mobile,Safari,Windows,/offers
