event_id,user_id,session_id,event_timestamp,event_type,product_id,variant
59,U18497,S1226,2026-05-23 03:24:05,homepage_visit,P65,A
60,U21720,S2841,2026-05-22 03:05:47,homepage_visit,P87,B
61,U10966,S4630,2026-05-23 12:36:28,homepage_visit,P184,A
62,U19693,S2165,2026-05-23 12:16:50,homepage_visit,P83,B
63,U9864,S2559,2026-05-21 01:04:30,homepage_visit,P86,B
64,U14903,S3111,2026-05-20 09:39:04,homepage_visit,P58,A
65,U13084,S3761,2026-05-22 20:30:41,homepage_visit,P162,B
66,U11579,S713,2026-05-18 21:19:05,homepage_visit,P144,B
67,U23701,S200,2026-05-21 09:16:16,homepage_visit,P118,B
68,U11749,S1683,2026-05-21 07:06:09,homepage_visit,P41,B
69,U13452,S4960,2026-05-20 06:52:01,homepage_visit,P169,B
70,U22344,S3009,2026-05-22 16:41:19,homepage_visit,P26,A
71,U6931,S1723,2026-05-23 06:25:28,homepage_visit,P48,B
72,U12058,S2453,2026-05-19 14:14:32,homepage_visit,P92,B
73,U8778,S2157,2026-05-20 21:44:08,homepage_visit,P142,A
74,U7674,S3651,2026-05-23 00:49:47,homepage_visit,P195,A
75,U6295,S1702,2026-05-23 10:54:32,homepage_visit,P28,B
76,U17943,S1742,2026-05-21 17:21:26,homepage_visit,P102,A
77,U24532,S3480,2026-05-23 23:33:36,homepage_visit,P47,A
78,U10056,S4677,2026-05-20 03:14:55,homepage_visit,P190,A
79,U5768,S2996,2026-05-21 08:05:52,homepage_visit,P176,B
80,U12409,S4309,2026-05-23 04:32:42,homepage_visit,P99,B
81,U17929,S1711,2026-05-23 15:13:16,homepage_visit,P52,A
82,U18872,S1759,2026-05-23 19:22:56,homepage_visit,P133,B
83,U17752,S2409,2026-05-19 09:06:14,homepage_visit,P120,B
84,U7230,S3483,2026-05-19 17:40:12,homepage_visit,P151,B
85,U3599,S3298,2026-05-23 02:45:21,homepage_visit,P111,B
86,U4752,S4703,2026-05-23 05:44:28,homepage_visit,P88,A
87,U14553,S4476,2026-05-24 00:59:29,homepage_visit,P106,A
88,U327,S2977,2026-05-20 17:27:06,homepage_visit,P187,A
89,U11134,S4061,2026-05-21 23:22:59,homepage_visit,P93,A
90,U4068,S4377,2026-05-22 18:47:31,homepage_visit,P193,B
91,U24645,S931,2026-05-19 12:32:01,homepage_visit,P96,B
92,U5802,S1887,2026-05-21 11:08:48,homepage_visit,P193,B
93,U6334,S331,2026-05-24 10:52:31,homepage_visit,P53,A
94,U21950,S2330,2026-05-23 23:51:00,homepage_visit,P27,A
95,U8596,S304,2026-05-22 23:09:46,homepage_visit,P140,B
96,U18403,S3781,2026-05-24 10:32:27,homepage_visit,P15,A
97,U18815,S2472,2026-05-21 19:21:33,homepage_visit,P135,A
98,U9741,S3998,2026-05-24 10:08:37,homepage_visit,P81,A
99,U21170,S3301,2026-05-18 17:19:22,homepage_visit,P72,B
100,U23045,S3657,2026-05-21 15:23:21,homepage_visit,P162,A
101,U1795,S3289,2026-05-22 08:21:27,homepage_visit,P193,A
102,U706,S454,2026-05-19 23:04:54,homepage_visit,P44,A
103,U7455,S4032,2026-05-21 13:46:15,homepage_visit,P142,A
104,U13664,S725,2026-05-23 14:49:09,homepage_visit,P175,B
105,U13147,S3634,2026-05-23 23:46:19,homepage_visit,P163,A
106,U21829,S230,2026-05-23 14:17:50,homepage_visit,P92,B
107,U9546,S1698,2026-05-19 23:21:20,homepage_visit,P178,A
108,U20618,S3975,2026-05-21 22:35:32,homepage_visit,P154,A
109,U13351,S558,2026-05-18 21:54:01,homepage_visit,P124,B
110,U5201,S4115,2026-05-20 06:20:29,homepage_visit,P73,A
111,U21209,S2727,2026-05-21 04:03:00,homepage_visit,P143,B
112,U24365,S3211,2026-05-19 23:48:19,homepage_visit,P71,B
113,U15107,S2441,2026-05-19 12:26:50,homepage_visit,P89,A
114,U14118,S3283,2026-05-18 16:52:50,homepage_visit,P113,B
115,U13902,S294,2026-05-19 13:50:14,homepage_visit,P38,A
116,U9606,S1994,2026-05-19 03:45:44,homepage_visit,P117,B
117,U10857,S3497,2026-05-19 13:04:49,homepage_visit,P120,B
118,U2562,S3370,2026-05-23 13:11:29,homepage_visit,P159,B
119,U23730,S1307,2026-05-22 13:52:00,homepage_visit,P95,A
120,U4516,S2638,2026-05-23 00:02:21,homepage_visit,P68,A
121,U3415,S961,2026-05-19 22:06:00,homepage_visit,P93,B
122,U5233,S2369,2026-05-23 23:11:36,homepage_visit,P182,B
123,U10159,S126,2026-05-20 04:16:17,homepage_visit,P118,A
124,U3912,S3401,2026-05-23 10:58:56,homepage_visit,P96,A
125,U10634,S2117,2026-05-19 09:17:36,homepage_visit,P22,A
126,U10538,S482,2026-05-21 12:02:49,homepage_visit,P6,B
127,U10642,S2736,2026-05-24 09:47:15,homepage_visit,P160,B
128,U16919,S2654,2026-05-20 21:34:03,homepage_visit,P13,B
129,U13105,S1644,2026-05-18 13:58:27,homepage_visit,P106,B
130,U11454,S170,2026-05-21 21:49:59,homepage_visit,P78,B
131,U16350,S108,2026-05-24 08:52:53,homepage_visit,P65,A
132,U23494,S1110,2026-05-22 06:14:32,homepage_visit,P141,B
133,U9579,S3441,2026-05-22 06:38:54,homepage_visit,P163,A
134,U16070,S1575,2026-05-18 15:42:00,homepage_visit,P108,A
135,U22539,S1357,2026-05-20 17:44:57,homepage_visit,P20,B
136,U2963,S806,2026-05-24 05:17:31,homepage_visit,P143,B
137,U12524,S2808,2026-05-21 11:42:01,homepage_visit,P26,A
138,U19390,S752,2026-05-20 18:51:21,homepage_visit,P172,B
139,U8704,S744,2026-05-19 09:57:16,homepage_visit,P136,A
140,U20263,S394,2026-05-21 14:28:34,homepage_visit,P65,B
141,U23075,S287,2026-05-22 19:53:44,homepage_visit,P14,A
142,U99,S2373,2026-05-19 16:39:20,homepage_visit,P144,B
143,U23033,S1727,2026-05-22 19:50:00,homepage_visit,P35,B
144,U3152,S4796,2026-05-21 03:26:18,homepage_visit,P62,B
145,U15964,S655,2026-05-20 08:51:10,homepage_visit,P47,A
146,U19338,S2457,2026-05-22 08:48:05,homepage_visit,P34,A
147,U14435,S2030,2026-05-22 06:54:03,homepage_visit,P126,B
148,U5016,S557,2026-05-21 12:43:12,homepage_visit,P12,B
149,U3032,S1176,2026-05-20 05:40:35,homepage_visit,P68,A
150,U23214,S4530,2026-05-19 10:15:45,homepage_visit,P10,A
151,U16665,S4318,2026-05-22 08:29:58,homepage_visit,P16,B
152,U3014,S3415,2026-05-18 21:04:23,homepage_visit,P36,B
153,U6434,S814,2026-05-21 23:57:15,homepage_visit,P182,A
154,U20795,S344,2026-05-21 02:32:13,homepage_visit,P151,B
155,U13859,S390,2026-05-20 17:08:35,homepage_visit,P143,B
156,U20822,S4751,2026-05-22 08:42:12,homepage_visit,P103,B
157,U11361,S2628,2026-05-23 06:21:23,homepage_visit,P4,A
158,U13184,S2633,2026-05-21 18:08:37,homepage_visit,P157,A
159,U7340,S1225,2026-05-20 08:14:34,homepage_visit,P135,A
160,U8474,S3217,2026-05-22 07:30:10,homepage_visit,P55,A
161,U21477,S2496,2026-05-20 07:44:36,homepage_visit,P134,A
162,U16897,S4347,2026-05-20 20:30:34,homepage_visit,P198,B
163,U13351,S558,2026-05-22 08:58:17,homepage_visit,P65,A
164,U21548,S1778,2026-05-20 15:52:02,homepage_visit,P40,B
165,U9821,S3377,2026-05-22 07:40:50,homepage_visit,P77,B
166,U17935,S2127,2026-05-21 19:31:00,homepage_visit,P151,B
167,U2839,S3428,2026-05-22 22:40:28,homepage_visit,P172,B
168,U1973,S4944,2026-05-21 02:06:19,homepage_visit,P94,B
169,U22319,S726,2026-05-19 10:43:52,homepage_visit,P128,A
170,U570,S313,2026-05-20 03:57:09,homepage_visit,P104,A
171,U23933,S1351,2026-05-21 01:49:46,homepage_visit,P30,A
172,U805,S3316,2026-05-24 00:21:58,homepage_visit,P50,A
173,U18556,S1823,2026-05-23 18:39:16,homepage_visit,P160,A
174,U20566,S825,2026-05-19 20:46:32,homepage_visit,P108,A
175,U22746,S819,2026-05-23 02:22:05,homepage_visit,P15,B
176,U1315,S4934,2026-05-23 02:13:43,homepage_visit,P102,A
177,U335,S1108,2026-05-19 20:05:44,homepage_visit,P192,B
178,U1479,S4635,2026-05-18 19:21:20,homepage_visit,P11,B
179,U5938,S4405,2026-05-22 07:11:29,homepage_visit,P67,B
180,U14878,S308,2026-05-20 04:09:14,homepage_visit,P161,A
181,U21469,S951,2026-05-19 21:06:36,homepage_visit,P39,A
182,U20762,S1665,2026-05-24 05:05:15,homepage_visit,P134,A
183,U20650,S4124,2026-05-19 07:19:43,homepage_visit,P76,B
184,U11461,S2668,2026-05-21 06:18:43,homepage_visit,P123,A
185,U11394,S264,2026-05-20 22:49:21,homepage_visit,P117,B
186,U1192,S3138,2026-05-23 21:29:49,homepage_visit,P114,B
187,U24975,S4440,2026-05-21 00:38:26,homepage_visit,P70,A
188,U5796,S1083,2026-05-23 12:25:57,homepage_visit,P118,B
189,U20967,S2520,2026-05-24 10:26:19,homepage_visit,P137,A
190,U12806,S2136,2026-05-21 14:08:18,homepage_visit,P101,A
191,U6801,S3669,2026-05-23 08:23:39,homepage_visit,P71,A
192,U1786,S3305,2026-05-22 03:44:44,homepage_visit,P40,B
193,U8618,S4637,2026-05-19 04:42:00,homepage_visit,P98,B
194,U21102,S3461,2026-05-21 18:56:36,homepage_visit,P78,A
195,U22359,S4732,2026-05-19 18:29:02,homepage_visit,P144,A
196,U14824,S474,2026-05-22 00:13:21,homepage_visit,P36,A
197,U18535,S1322,2026-05-22 16:59:18,homepage_visit,P145,A
198,U23311,S4178,2026-05-21 01:23:26,homepage_visit,P35,A
199,U12119,S2272,2026-05-18 21:13:05,homepage_visit,P19,A
200,U9366,S3811,2026-05-22 12:03:33,homepage_visit,P184,A
201,U13660,S381,2026-05-23 05:20:02,homepage_visit,P49,B
202,U9217,S9,2026-05-19 09:28:54,homepage_visit,P103,B
203,U23302,S959,2026-05-22 00:44:23,homepage_visit,P111,B
204,U3057,S2545,2026-05-19 09:09:46,homepage_visit,P161,B
205,U24089,S4333,2026-05-23 12:35:08,homepage_visit,P159,A
206,U21301,S27,2026-05-22 11:10:19,homepage_visit,P158,A
207,U11844,S780,2026-05-24 06:24:54,homepage_visit,P176,B
208,U20646,S1478,2026-05-21 12:01:02,homepage_visit,P6,A
209,U22853,S3212,2026-05-21 01:56:07,homepage_visit,P28,B
210,U7570,S2900,2026-05-21 03:47:20,homepage_visit,P185,B
211,U12123,S2596,2026-05-19 17:57:16,homepage_visit,P165,A
212,U12552,S4136,2026-05-18 22:29:21,homepage_visit,P61,A
213,U6931,S1723,2026-05-24 09:31:52,homepage_visit,P125,B
214,U14545,S3588,2026-05-22 20:06:13,homepage_visit,P95,A
215,U14052,S2011,2026-05-23 23:04:03,homepage_visit,P196,B
216,U21864,S4547,2026-05-20 08:49:32,homepage_visit,P162,B
217,U1941,S2418,2026-05-23 20:54:20,homepage_visit,P99,A
218,U12016,S58,2026-05-22 06:23:50,homepage_visit,P81,A
219,U967,S4723,2026-05-23 23:26:19,homepage_visit,P167,B
220,U10898,S510,2026-05-23 14:58:08,homepage_visit,P137,B
221,U24434,S1134,2026-05-21 05:06:10,homepage_visit,P111,B
222,U3261,S4412,2026-05-22 02:59:31,homepage_visit,P117,B
223,U14269,S2682,2026-05-22 11:36:18,homepage_visit,P182,B
224,U23647,S1923,2026-05-20 04:42:05,homepage_visit,P165,B
225,U24620,S1494,2026-05-22 15:06:14,homepage_visit,P76,B
226,U7415,S2989,2026-05-22 10:07:50,homepage_visit,P163,A
227,U20591,S4079,2026-05-22 17:08:12,homepage_visit,P30,A
228,U644,S4043,2026-05-23 09:52:46,homepage_visit,P5,A
229,U9061,S4234,2026-05-19 09:00:57,homepage_visit,P72,A
230,U9001,S824,2026-05-21 09:52:45,homepage_visit,P158,B
231,U13418,S1452,2026-05-20 13:25:13,homepage_visit,P163,B
232,U7123,S994,2026-05-18 21:21:18,homepage_visit,P22,A
233,U9075,S4450,2026-05-18 12:33:53,homepage_visit,P46,A
234,U474,S4798,2026-05-18 19:40:23,homepage_visit,P110,A
235,U3272,S3861,2026-05-22 02:40:01,homepage_visit,P169,A
236,U1615,S3959,2026-05-21 09:30:40,homepage_visit,P138,A
237,U2559,S4845,2026-05-21 10:07:15,homepage_visit,P195,A
238,U12510,S4286,2026-05-24 10:21:02,homepage_visit,P186,A
239,U18926,S2440,2026-05-21 16:54:27,homepage_visit,P182,B
240,U16909,S2173,2026-05-21 22:45:46,homepage_visit,P36,A
241,U8393,S4766,2026-05-22 01:54:15,homepage_visit,P86,B
242,U11960,S708,2026-05-20 16:02:06,homepage_visit,P109,A
243,U22969,S3345,2026-05-22 11:10:31,homepage_visit,P148,B
244,U12057,S32,2026-05-21 09:02:03,homepage_visit,P74,B
245,U8732,S1938,2026-05-20 05:45:00,homepage_visit,P129,B
246,U21662,S3785,2026-05-20 14:48:40,homepage_visit,P128,B
247,U16321,S718,2026-05-21 05:53:48,homepage_visit,P33,A
248,U6243,S3365,2026-05-18 20:47:59,homepage_visit,P28,A
249,U10739,S104,2026-05-19 00:18:11,homepage_visit,P140,A
250,U8825,S2835,2026-05-18 14:03:56,homepage_visit,P67,B
251,U727,S2490,2026-05-23 01:12:53,homepage_visit,P72,A
252,U37,S254,2026-05-22 03:08:46,homepage_visit,P188,A
253,U3970,S2960,2026-05-18 16:24:29,homepage_visit,P192,B
254,U11151,S1791,2026-05-20 16:39:12,homepage_visit,P103,B
255,U6345,S938,2026-05-23 19:12:37,homepage_visit,P45,A
256,U6065,S3722,2026-05-19 11:33:28,homepage_visit,P149,B
257,U8046,S1067,2026-05-20 14:08:02,homepage_visit,P58,A
258,U2742,S841,2026-05-20 21:06:03,homepage_visit,P73,A
259,U3832,S1278,2026-05-20 07:17:16,homepage_visit,P138,A
260,U6719,S318,2026-05-19 19:20:59,homepage_visit,P91,B
261,U7745,S2786,2026-05-20 00:57:11,homepage_visit,P100,B
262,U23326,S3917,2026-05-18 22:34:20,homepage_visit,P9,A
263,U24721,S2175,2026-05-23 10:22:11,homepage_visit,P32,B
264,U13162,S3992,2026-05-19 14:03:19,homepage_visit,P45,A
265,U6718,S1691,2026-05-22 14:34:52,homepage_visit,P127,B
266,U14569,S2509,2026-05-21 10:33:10,homepage_visit,P194,B
267,U5018,S283,2026-05-22 02:26:00,homepage_visit,P92,B
268,U6043,S2084,2026-05-20 03:11:42,homepage_visit,P154,A
269,U9293,S2387,2026-05-22 15:18:24,homepage_visit,P93,B
270,U23945,S1064,2026-05-20 18:08:39,homepage_visit,P14,B
271,U5556,S648,2026-05-19 03:42:29,homepage_visit,P14,B
272,U6632,S4279,2026-05-19 20:28:03,homepage_visit,P82,A
273,U15078,S418,2026-05-24 07:01:03,homepage_visit,P76,B
274,U19893,S2095,2026-05-22 16:12:00,homepage_visit,P192,B
275,U11141,S1055,2026-05-19 00:16:07,homepage_visit,P193,B
276,U11592,S1473,2026-05-22 05:22:15,homepage_visit,P3,B
277,U5555,S2379,2026-05-22 18:14:28,homepage_visit,P200,B
278,U19373,S2673,2026-05-21 08:52:54,homepage_visit,P87,B
279,U1363,S2643,2026-05-18 15:52:46,homepage_visit,P86,B
280,U17025,S662,2026-05-19 01:29:58,homepage_visit,P81,A
281,U3462,S4109,2026-05-22 16:33:09,homepage_visit,P57,B
282,U24101,S455,2026-05-23 19:48:42,homepage_visit,P7,B
283,U13365,S2405,2026-05-21 12:42:45,homepage_visit,P26,B
284,U8667,S186,2026-05-20 13:11:24,homepage_visit,P9,B
285,U18909,S1399,2026-05-21 23:10:15,homepage_visit,P9,A
286,U11666,S2396,2026-05-23 10:04:30,homepage_visit,P194,B
287,U4943,S812,2026-05-23 04:06:27,homepage_visit,P78,A
288,U19734,S1381,2026-05-19 22:11:58,homepage_visit,P179,A
289,U11406,S1765,2026-05-22 13:47:16,homepage_visit,P41,B
290,U2118,S569,2026-05-22 10:48:03,homepage_visit,P169,A
291,U16811,S3665,2026-05-21 09:28:43,homepage_visit,P129,A
292,U5923,S3927,2026-05-23 12:11:29,homepage_visit,P132,B
293,U14603,S2080,2026-05-20 10:12:09,homepage_visit,P99,A
294,U13583,S2032,2026-05-19 03:03:32,homepage_visit,P149,B
295,U23352,S214,2026-05-23 23:45:06,homepage_visit,P184,A
296,U15218,S3232,2026-05-22 03:49:56,homepage_visit,P172,B
297,U20856,S3209,2026-05-23 06:48:09,homepage_visit,P195,B
298,U14212,S3548,2026-05-21 18:11:13,homepage_visit,P147,A
299,U19577,S2697,2026-05-20 12:31:24,homepage_visit,P47,B
300,U21173,S83,2026-05-22 18:22:45,homepage_visit,P193,B
301,U7372,S2695,2026-05-19 19:22:42,homepage_visit,P3,A
302,U3515,S4232,2026-05-21 18:09:51,homepage_visit,P51,B
303,U5470,S1432,2026-05-19 17:02:57,homepage_visit,P93,B
304,U24233,S1927,2026-05-24 08:30:04,homepage_visit,P83,A
305,U10455,S1052,2026-05-21 23:47:22,homepage_visit,P124,B
306,U9310,S4080,2026-05-20 09:46:16,homepage_visit,P79,B
307,U20566,S825,2026-05-19 02:06:02,homepage_visit,P123,B
308,U23553,S34,2026-05-20 03:46:53,homepage_visit,P66,A
309,U22620,S2428,2026-05-20 18:29:29,homepage_visit,P142,A
310,U16172,S1732,2026-05-22 19:37:42,homepage_visit,P138,B
311,U8407,S4119,2026-05-23 05:49:56,homepage_visit,P8,B
312,U12748,S1850,2026-05-22 13:33:49,homepage_visit,P150,B
313,U19338,S2457,2026-05-19 13:20:34,homepage_visit,P56,B
314,U19635,S4280,2026-05-22 11:48:38,homepage_visit,P67,B
315,U15113,S1715,2026-05-23 11:33:23,homepage_visit,P31,B
316,U7259,S542,2026-05-19 09:42:31,homepage_visit,P36,A
317,U20109,S4102,2026-05-21 16:27:32,homepage_visit,P28,A
318,U10642,S1172,2026-05-23 23:08:30,homepage_visit,P154,B
319,U2746,S292,2026-05-21 08:17:04,homepage_visit,P9,A
320,U11720,S1521,2026-05-20 11:07:19,homepage_visit,P62,A
321,U17170,S2269,2026-05-22 11:18:45,homepage_visit,P126,B
322,U1220,S4861,2026-05-23 04:52:05,homepage_visit,P133,A
323,U24074,S942,2026-05-20 21:45:02,homepage_visit,P152,A
324,U1620,S4620,2026-05-22 11:24:21,homepage_visit,P8,B
325,U1352,S3935,2026-05-22 17:10:05,homepage_visit,P190,B
326,U13268,S162,2026-05-20 07:21:23,homepage_visit,P13,A
327,U6909,S3609,2026-05-20 17:40:43,homepage_visit,P28,A
328,U2931,S2215,2026-05-21 21:40:20,homepage_visit,P148,A
329,U14711,S3659,2026-05-21 03:32:52,homepage_visit,P73,A
330,U6156,S2437,2026-05-23 14:52:24,homepage_visit,P52,A
331,U3017,S2967,2026-05-21 23:38:15,homepage_visit,P184,B
332,U1847,S21,2026-05-20 07:15:23,homepage_visit,P141,A
333,U24665,S471,2026-05-20 19:07:37,homepage_visit,P143,A
334,U19949,S698,2026-05-19 15:42:49,homepage_visit,P153,A
335,U20861,S2933,2026-05-20 17:52:12,homepage_visit,P54,B
336,U9884,S4135,2026-05-22 22:38:07,homepage_visit,P155,A
337,U13664,S725,2026-05-22 13:11:45,homepage_visit,P174,A
338,U8913,S2014,2026-05-24 05:15:21,homepage_visit,P170,A
339,U7563,S1273,2026-05-21 01:18:53,homepage_visit,P184,A
340,U19144,S4260,2026-05-22 13:40:54,homepage_visit,P46,B
341,U20761,S756,2026-05-21 14:51:14,homepage_visit,P67,A
342,U15568,S1892,2026-05-19 09:01:07,homepage_visit,P53,A
343,U21115,S1851,2026-05-19 03:15:15,homepage_visit,P179,B
344,U12367,S3663,2026-05-21 19:19:37,homepage_visit,P76,B
345,U5234,S1524,2026-05-24 01:38:33,homepage_visit,P26,B
346,U1875,S3970,2026-05-23 08:27:11,homepage_visit,P98,B
347,U24299,S4520,2026-05-19 02:03:55,homepage_visit,P2,B
348,U2499,S3472,2026-05-19 05:45:17,homepage_visit,P96,B
349,U8169,S2980,2026-05-18 17:19:55,homepage_visit,P75,A
350,U19482,S1856,2026-05-23 18:11:03,homepage_visit,P199,B
351,U21893,S4268,2026-05-19 15:11:52,homepage_visit,P43,A
352,U14202,S2429,2026-05-21 16:51:00,homepage_visit,P68,A
353,U17685,S779,2026-05-24 05:09:13,homepage_visit,P199,B
354,U23594,S457,2026-05-23 11:59:08,homepage_visit,P144,B
355,U24197,S2764,2026-05-21 10:29:34,homepage_visit,P23,A
356,U24935,S3344,2026-05-23 02:51:32,homepage_visit,P50,B
357,U5693,S705,2026-05-20 18:06:58,homepage_visit,P86,B
358,U5224,S2105,2026-05-21 05:50:00,homepage_visit,P84,B
359,U7313,S4790,2026-05-19 01:40:11,homepage_visit,P78,A
360,U2293,S4554,2026-05-22 11:47:31,homepage_visit,P89,A
361,U14748,S4603,2026-05-20 07:39:43,homepage_visit,P113,B
362,U16339,S3591,2026-05-23 05:25:34,homepage_visit,P12,A
363,U20975,S2968,2026-05-20 16:04:06,homepage_visit,P52,B
364,U16442,S2747,2026-05-21 15:32:43,homepage_visit,P117,B
365,U16927,S1809,2026-05-24 06:06:59,homepage_visit,P198,B
366,U5234,S1524,2026-05-19 23:16:30,homepage_visit,P24,A
367,U2694,S2732,2026-05-23 23:13:05,homepage_visit,P175,A
368,U5781,S1687,2026-05-18 15:56:00,homepage_visit,P122,A
369,U12249,S2064,2026-05-19 15:33:51,homepage_visit,P52,A
370,U24448,S2479,2026-05-24 07:56:47,homepage_visit,P80,B
371,U23045,S3657,2026-05-20 01:18:06,homepage_visit,P139,B
372,U22021,S194,2026-05-24 04:17:33,homepage_visit,P13,B
373,U17947,S4420,2026-05-21 12:32:07,homepage_visit,P6,A
374,U2277,S2251,2026-05-22 12:02:10,homepage_visit,P112,B
375,U8873,S3655,2026-05-23 08:40:11,homepage_visit,P163,A
376,U6940,S532,2026-05-22 19:38:34,homepage_visit,P4,A
377,U8612,S3757,2026-05-22 17:28:16,homepage_visit,P189,A
378,U15049,S3327,2026-05-23 18:05:30,homepage_visit,P178,A
379,U4401,S2991,2026-05-19 02:33:48,homepage_visit,P101,B
380,U2989,S3086,2026-05-19 02:37:45,homepage_visit,P138,B
381,U16549,S4156,2026-05-20 06:02:13,homepage_visit,P133,A
382,U14880,S2214,2026-05-19 13:39:35,homepage_visit,P107,B
383,U15235,S4598,2026-05-20 18:19:19,homepage_visit,P13,A
384,U5234,S1524,2026-05-19 08:23:36,homepage_visit,P38,B
385,U24584,S393,2026-05-20 21:36:41,homepage_visit,P27,B
386,U6296,S3502,2026-05-22 13:51:15,homepage_visit,P92,B
387,U5636,S579,2026-05-22 13:47:59,homepage_visit,P115,B
388,U8779,S3723,2026-05-20 01:08:58,homepage_visit,P127,B
389,U355,S1990,2026-05-23 09:08:01,homepage_visit,P6,A
390,U5942,S2374,2026-05-23 01:37:05,homepage_visit,P18,A
391,U13965,S2144,2026-05-19 01:38:52,homepage_visit,P195,A
392,U18984,S2230,2026-05-23 18:36:32,homepage_visit,P61,B
393,U6063,S4562,2026-05-23 14:54:13,homepage_visit,P166,A
394,U23190,S2245,2026-05-19 22:23:37,homepage_visit,P40,A
395,U37,S4157,2026-05-21 23:18:43,homepage_visit,P178,A
396,U4352,S2539,2026-05-18 13:56:59,homepage_visit,P182,B
397,U1871,S2047,2026-05-24 01:27:47,homepage_visit,P120,B
398,U22317,S816,2026-05-21 01:07:03,homepage_visit,P16,A
399,U18191,S3083,2026-05-22 19:20:06,homepage_visit,P39,A
400,U24632,S4838,2026-05-24 08:23:15,homepage_visit,P66,A
401,U22057,S803,2026-05-21 13:43:52,homepage_visit,P81,A
