user_id,sign_up_date,gender,age_group,Country,city,acquisition_channel,customer_segment
U92,2025-10-23,Prefer not to disclose,45+,India,Pune,Email,Regular
U93,2024-09-10,Male,45+,India,Delhi,Organic,Premium
U94,2026-01-26,Male,25-34,India,Noida,Direct,Premium
U95,2025-03-22,Prefer not to disclose,45+,India,Kolkata,Facebook,Premium
U96,2025-09-22,Female,45+,India,Pune,Direct,Occasional
U97,2025-12-27,Male,18-24,India,Hyderabad,Instagram,Premium
U98,2024-09-11,Male,45+,India,Pune,Email,Regular
U99,2024-11-20,Female,35-44,India,Hyderabad,Email,Premium
U100,2025-07-02,Female,35-44,India,Hyderabad,Instagram,Occasional
U101,2024-07-05,Female,45+,India,Noida,Direct,Regular
U102,2024-11-26,Prefer not to disclose,25-34,India,Lucknow,Organic,Regular
U103,2025-09-05,Female,45+,India,Delhi,Direct,Premium
U104,2024-07-28,Prefer not to disclose,45+,India,Chennai,Google Ads,Occasional
U105,2024-09-05,Prefer not to disclose,35-44,India,Kolkata,Google Ads,Occasional
U106,2025-05-10,Female,18-24,India,Pune,Direct,Occasional
U107,2025-05-30,Male,35-44,India,Bangalore,Facebook,Occasional
U108,2025-01-10,Prefer not to disclose,35-44,India,Kolkata,Email,Regular
U109,2024-07-05,Prefer not to disclose,35-44,India,Mumbai,Email,Occasional
U110,2025-05-05,Prefer not to disclose,25-34,India,Lucknow,Facebook,Premium
U111,2025-10-09,Female,25-34,India,Pune,Organic,Regular
U112,2025-05-05,Female,35-44,India,Jaipur,Organic,Regular
U113,2026-01-22,Female,18-24,India,Pune,Email,Premium
U114,2025-11-25,Prefer not to disclose,25-34,India,Noida,Google Ads,Regular
U115,2024-07-17,Male,35-44,India,Mumbai,Organic,Occasional
U116,2025-07-04,Female,18-24,India,Delhi,Google Ads,Occasional
U117,2024-11-12,Prefer not to disclose,18-24,India,Chennai,Organic,Occasional
U118,2024-08-26,Female,45+,India,Bangalore,Google Ads,Occasional
U119,2025-04-09,Male,18-24,India,Jaipur,Organic,Occasional
U120,2026-03-20,Female,35-44,India,Hyderabad,Email,Occasional
U121,2026-03-22,Prefer not to disclose,45+,India,Lucknow,Google Ads,Premium
U122,2025-05-30,Female,25-34,India,Chennai,Instagram,Occasional
U123,2025-07-01,Prefer not to disclose,35-44,India,Lucknow,Direct,Premium
U124,2026-01-11,Female,18-24,India,Kolkata,Facebook,Occasional
U125,2025-08-18,Male,18-24,India,Jaipur,Facebook,Premium
U126,2024-12-16,Prefer not to disclose,25-34,India,Bangalore,Organic,Premium
U127,2024-06-22,Male,25-34,India,Noida,Direct,Regular
U128,2025-11-14,Male,35-44,India,Delhi,Organic,Premium
U129,2026-01-03,Prefer not to disclose,18-24,India,Kolkata,Instagram,Occasional
U130,2026-04-28,Female,18-24,India,Hyderabad,Google Ads,Occasional
U131,2025-02-06,Male,45+,India,Chennai,Email,Occasional
U132,2025-08-29,Male,18-24,India,Pune,Google Ads,Premium
U133,2024-11-19,Male,35-44,India,Mumbai,Facebook,Premium
U134,2025-06-19,Prefer not to disclose,35-44,India,Noida,Direct,Premium
U135,2025-08-19,Male,18-24,India,Jaipur,Instagram,Regular
U136,2026-04-07,Female,45+,India,Kolkata,Organic,Premium
U137,2025-07-13,Prefer not to disclose,18-24,India,Noida,Direct,Premium
U138,2025-04-19,Male,25-34,India,Pune,Direct,Occasional
U139,2024-10-31,Male,35-44,India,Noida,Direct,Occasional
U140,2025-09-03,Prefer not to disclose,45+,India,Jaipur,Facebook,Occasional
U141,2025-08-18,Male,45+,India,Jaipur,Direct,Occasional
U142,2024-07-29,Female,25-34,India,Chennai,Email,Premium
U143,2025-02-19,Female,45+,India,Mumbai,Instagram,Regular
U144,2026-01-15,Female,18-24,India,Pune,Instagram,Premium
U145,2025-03-15,Female,25-34,India,Kolkata,Direct,Occasional
U146,2024-06-01,Male,25-34,India,Kolkata,Organic,Occasional
U147,2025-04-30,Male,25-34,India,Mumbai,Google Ads,Occasional
U148,2025-03-12,Female,45+,India,Kolkata,Email,Regular
U149,2026-05-05,Female,18-24,India,Lucknow,Organic,Occasional
U150,2025-04-18,Prefer not to disclose,18-24,India,Chennai,Email,Occasional
U151,2026-03-08,Female,25-34,India,Jaipur,Instagram,Regular
U152,2026-02-24,Male,25-34,India,Delhi,Facebook,Regular
U153,2024-11-03,Female,35-44,India,Pune,Direct,Occasional
U154,2025-02-07,Prefer not to disclose,18-24,India,Delhi,Direct,Regular
U155,2024-08-15,Female,35-44,India,Pune,Google Ads,Premium
U156,2025-06-12,Female,35-44,India,Bangalore,Instagram,Occasional
U157,2025-08-10,Female,45+,India,Bangalore,Direct,Occasional
U158,2026-03-15,Female,35-44,India,Noida,Direct,Premium
U159,2024-07-23,Female,25-34,India,Hyderabad,Facebook,Occasional
U160,2024-10-24,Prefer not to disclose,45+,India,Kolkata,Direct,Premium
U161,2025-11-15,Female,35-44,India,Kolkata,Instagram,Occasional
U162,2025-07-09,Female,45+,India,Jaipur,Direct,Regular
U163,2024-07-17,Prefer not to disclose,18-24,India,Pune,Organic,Premium
U164,2024-07-13,Prefer not to disclose,25-34,India,Mumbai,Instagram,Premium
U165,2025-03-02,Male,45+,India,Hyderabad,Google Ads,Occasional
U166,2025-05-15,Female,25-34,India,Hyderabad,Facebook,Regular
U167,2025-12-26,Prefer not to disclose,18-24,India,Bangalore,Direct,Occasional
U168,2024-10-20,Female,25-34,India,Hyderabad,Direct,Premium
U169,2024-09-14,Female,25-34,India,Pune,Facebook,Premium
U170,2024-08-08,Male,35-44,India,Noida,Instagram,Regular
U171,2025-02-02,Male,25-34,India,Hyderabad,Direct,Premium
U172,2025-12-02,Prefer not to disclose,18-24,India,Hyderabad,Direct,Occasional
U173,2025-11-12,Male,18-24,India,Hyderabad,Instagram,Occasional
U174,2026-04-28,Male,25-34,India,Lucknow,Direct,Premium
U175,2025-10-26,Female,25-34,India,Noida,Email,Regular
U176,2026-01-16,Prefer not to disclose,25-34,India,Lucknow,Email,Occasional
U177,2025-04-06,Male,25-34,India,Jaipur,Organic,Occasional
U178,2025-10-21,Male,35-44,India,Bangalore,Organic,Occasional
U179,2025-08-23,Male,45+,India,Bangalore,Instagram,Premium
U180,2025-04-09,Male,18-24,India,Noida,Facebook,Occasional
U181,2025-08-04,Male,25-34,India,Delhi,Facebook,Regular
U182,2024-12-25,Prefer not to disclose,45+,India,Chennai,Google Ads,Premium
U183,2025-06-19,Male,25-34,India,Kolkata,Organic,Premium
U184,2024-08-22,Female,25-34,India,Lucknow,Instagram,Occasional
U185,2024-06-21,Prefer not to disclose,18-24,India,Noida,Facebook,Premium
U186,2025-03-22,Male,18-24,India,Delhi,Google Ads,Regular
U187,2026-01-28,Male,35-44,India,Bangalore,Google Ads,Regular
U188,2024-10-24,Male,18-24,India,Noida,Instagram,Occasional
U189,2026-02-10,Female,25-34,India,Pune,Direct,Premium
U190,2024-06-15,Female,18-24,India,Mumbai,Email,Premium
U191,2025-11-30,Prefer not to disclose,18-24,India,Delhi,Google Ads,Regular
U192,2024-09-03,Male,25-34,India,Jaipur,Direct,Regular
U193,2025-03-01,Male,45+,India,Lucknow,Organic,Regular
U194,2025-06-02,Male,25-34,India,Pune,Instagram,Premium
U195,2024-12-11,Male,35-44,India,Mumbai,Facebook,Regular
U196,2024-10-28,Female,45+,India,Noida,Organic,Occasional
U197,2025-05-11,Female,18-24,India,Pune,Email,Premium
U198,2024-08-24,Male,45+,India,Noida,Organic,Premium
U199,2024-10-12,Male,45+,India,Pune,Facebook,Premium
U200,2024-09-26,Prefer not to disclose,25-34,India,Delhi,Organic,Regular
U201,2025-09-17,Prefer not to disclose,35-44,India,Delhi,Email,Premium
U202,2025-02-12,Female,18-24,India,Hyderabad,Instagram,Occasional
U203,2025-07-22,Prefer not to disclose,45+,India,Jaipur,Google Ads,Regular
U204,2026-01-23,Female,45+,India,Lucknow,Instagram,Regular
U205,2024-05-27,Prefer not to disclose,18-24,India,Pune,Direct,Occasional
U206,2024-06-21,Female,35-44,India,Kolkata,Google Ads,Premium
U207,2026-04-04,Female,25-34,India,Mumbai,Facebook,Occasional
U208,2025-08-26,Prefer not to disclose,25-34,India,Jaipur,Facebook,Regular
U209,2025-10-31,Female,35-44,India,Pune,Instagram,Regular
U210,2025-03-05,Male,18-24,India,Noida,Facebook,Regular
U211,2024-08-06,Prefer not to disclose,18-24,India,Hyderabad,Email,Regular
U212,2024-08-25,Female,35-44,India,Noida,Instagram,Premium
U213,2024-05-28,Male,25-34,India,Jaipur,Organic,Premium
U214,2025-01-22,Prefer not to disclose,25-34,India,Lucknow,Facebook,Occasional
U215,2026-02-26,Male,35-44,India,Jaipur,Facebook,Premium
U216,2025-06-26,Male,25-34,India,Pune,Direct,Premium
U217,2026-02-15,Female,35-44,India,Noida,Organic,Occasional
U218,2026-04-26,Prefer not to disclose,35-44,India,Pune,Facebook,Regular
U219,2024-06-06,Prefer not to disclose,25-34,India,Hyderabad,Direct,Occasional
U220,2025-11-27,Male,25-34,India,Chennai,Google Ads,Regular
U221,2025-10-03,Male,25-34,India,Hyderabad,Organic,Occasional
U222,2026-05-24,Prefer not to disclose,18-24,India,Pune,Facebook,Regular
U223,2025-07-05,Female,45+,India,Chennai,Direct,Regular
U224,2025-12-23,Prefer not to disclose,25-34,India,Delhi,Facebook,Occasional
U225,2025-05-25,Female,25-34,India,Pune,Direct,Premium
U226,2026-03-25,Male,45+,India,Delhi,Facebook,Regular
U227,2024-08-13,Female,35-44,India,Noida,Google Ads,Occasional
U228,2024-06-04,Female,25-34,India,Jaipur,Instagram,Regular
U229,2024-08-17,Male,18-24,India,Hyderabad,Direct,Premium
U230,2025-05-03,Prefer not to disclose,45+,India,Chennai,Direct,Premium
U231,2025-09-08,Male,35-44,India,Hyderabad,Google Ads,Premium
U232,2024-06-16,Male,25-34,India,Hyderabad,Email,Regular
U233,2026-04-28,Male,35-44,India,Chennai,Facebook,Regular
U234,2025-09-03,Prefer not to disclose,45+,India,Jaipur,Facebook,Premium
U235,2025-11-14,Female,25-34,India,Pune,Email,Regular
U236,2025-05-31,Female,35-44,India,Jaipur,Facebook,Occasional
U237,2025-12-29,Female,35-44,India,Kolkata,Google Ads,Regular
U238,2025-04-05,Male,25-34,India,Chennai,Organic,Premium
U239,2026-03-28,Female,18-24,India,Delhi,Direct,Occasional
U240,2026-03-01,Prefer not to disclose,18-24,India,Delhi,Direct,Premium
U241,2024-08-19,Prefer not to disclose,45+,India,Chennai,Direct,Premium
U242,2025-03-27,Male,18-24,India,Mumbai,Facebook,Regular
U243,2025-08-18,Prefer not to disclose,18-24,India,Mumbai,Email,Premium
U244,2025-12-16,Male,45+,India,Bangalore,Direct,Premium
U245,2025-11-22,Female,35-44,India,Chennai,Google Ads,Occasional
U246,2026-04-25,Female,25-34,India,Chennai,Facebook,Occasional
U247,2026-03-24,Prefer not to disclose,25-34,India,Kolkata,Facebook,Regular
U248,2025-04-25,Prefer not to disclose,25-34,India,Lucknow,Email,Premium
U249,2025-01-17,Prefer not to disclose,18-24,India,Delhi,Email,Regular
U250,2025-06-02,Male,18-24,India,Noida,Organic,Occasional
U251,2025-09-17,Female,35-44,India,Bangalore,Organic,Premium
U252,2025-12-26,Prefer not to disclose,35-44,India,Chennai,Direct,Premium
U253,2024-06-27,Prefer not to disclose,35-44,India,Chennai,Google Ads,Regular
U254,2025-04-09,Prefer not to disclose,25-34,India,Bangalore,Facebook,Regular
U255,2025-11-30,Prefer not to disclose,35-44,India,Hyderabad,Instagram,Occasional
U256,2026-01-24,Male,18-24,India,Bangalore,Email,Regular
U257,2025-07-04,Female,45+,India,Hyderabad,Instagram,Regular
U258,2025-02-03,Prefer not to disclose,35-44,India,Pune,Email,Premium
U259,2024-09-02,Male,25-34,India,Lucknow,Facebook,Occasional
U260,2025-02-01,Prefer not to disclose,35-44,India,Hyderabad,Organic,Premium
U261,2024-07-01,Female,35-44,India,Jaipur,Instagram,Occasional
U262,2024-12-26,Male,18-24,India,Lucknow,Direct,Premium
U263,2024-11-05,Female,35-44,India,Lucknow,Email,Regular
U264,2025-01-27,Female,18-24,India,Bangalore,Organic,Occasional
U265,2025-11-10,Prefer not to disclose,45+,India,Chennai,Organic,Regular
U266,2025-07-16,Female,35-44,India,Bangalore,Google Ads,Regular
U267,2024-10-05,Female,35-44,India,Delhi,Email,Regular
U268,2024-08-24,Prefer not to disclose,18-24,India,Hyderabad,Facebook,Premium
U269,2026-04-01,Prefer not to disclose,25-34,India,Jaipur,Instagram,Occasional
U270,2024-08-05,Prefer not to disclose,18-24,India,Noida,Facebook,Occasional
U271,2025-11-21,Male,18-24,India,Noida,Facebook,Regular
U272,2025-07-30,Female,45+,India,Bangalore,Instagram,Occasional
U273,2026-03-05,Prefer not to disclose,45+,India,Jaipur,Instagram,Occasional
U274,2025-10-22,Male,18-24,India,Mumbai,Facebook,Premium
U275,2024-07-22,Prefer not to disclose,25-34,India,Pune,Direct,Regular
U276,2024-05-30,Male,35-44,India,Lucknow,Email,Regular
U277,2025-11-03,Female,45+,India,Delhi,Facebook,Regular
U278,2026-02-02,Prefer not to disclose,18-24,India,Kolkata,Direct,Regular
U279,2025-05-22,Male,45+,India,Jaipur,Email,Premium
U280,2025-02-21,Female,18-24,India,Jaipur,Direct,Occasional
U281,2025-02-12,Male,18-24,India,Bangalore,Direct,Regular
U282,2024-09-28,Male,25-34,India,Bangalore,Direct,Occasional
U283,2025-03-23,Prefer not to disclose,45+,India,Noida,Google Ads,Occasional
U284,2026-03-16,Female,45+,India,Mumbai,Email,Occasional
U285,2025-03-20,Male,18-24,India,Lucknow,Email,Premium
U286,2024-07-24,Female,18-24,India,Chennai,Email,Occasional
U287,2026-04-08,Prefer not to disclose,18-24,India,Bangalore,Direct,Occasional
U288,2026-04-30,Prefer not to disclose,35-44,India,Noida,Instagram,Occasional
U289,2026-01-10,Female,45+,India,Noida,Organic,Occasional
U290,2025-01-05,Female,45+,India,Hyderabad,Email,Regular
U291,2026-03-11,Prefer not to disclose,35-44,India,Mumbai,Organic,Regular
U292,2025-05-06,Prefer not to disclose,18-24,India,Delhi,Instagram,Premium
U293,2026-03-25,Male,35-44,India,Lucknow,Instagram,Occasional
U294,2025-02-09,Male,35-44,India,Chennai,Organic,Premium
U295,2025-08-12,Female,18-24,India,Jaipur,Instagram,Occasional
U296,2025-08-28,Prefer not to disclose,18-24,India,Chennai,Direct,Regular
U297,2025-05-22,Prefer not to disclose,18-24,India,Pune,Instagram,Occasional
U298,2024-09-17,Female,18-24,India,Delhi,Email,Regular
U299,2024-09-30,Male,18-24,India,Kolkata,Instagram,Regular
U300,2024-07-18,Male,18-24,India,Pune,Direct,Premium
U301,2025-09-05,Male,45+,India,Mumbai,Email,Premium
U302,2024-07-09,Male,18-24,India,Chennai,Organic,Premium
U303,2026-01-31,Male,25-34,India,Pune,Instagram,Premium
U304,2025-02-07,Prefer not to disclose,25-34,India,Bangalore,Direct,Occasional
U305,2024-07-12,Female,18-24,India,Noida,Organic,Occasional
U306,2025-02-15,Prefer not to disclose,18-24,India,Hyderabad,Google Ads,Occasional
U307,2025-02-12,Male,45+,India,Mumbai,Direct,Occasional
U308,2024-09-29,Male,35-44,India,Delhi,Email,Regular
U309,2025-12-14,Male,45+,India,Hyderabad,Email,Regular
U310,2026-03-12,Male,18-24,India,Jaipur,Direct,Premium
U311,2024-11-16,Male,18-24,India,Lucknow,Instagram,Premium
U312,2024-10-07,Female,45+,India,Chennai,Facebook,Occasional
U313,2024-12-30,Prefer not to disclose,18-24,India,Jaipur,Google Ads,Premium
U314,2024-07-13,Prefer not to disclose,18-24,India,Jaipur,Organic,Occasional
U315,2025-01-20,Female,18-24,India,Bangalore,Google Ads,Occasional
U316,2026-01-21,Female,45+,India,Hyderabad,Google Ads,Premium
U317,2025-05-25,Male,18-24,India,Delhi,Facebook,Regular
U318,2025-07-26,Female,25-34,India,Delhi,Organic,Premium
U319,2026-03-26,Prefer not to disclose,25-34,India,Bangalore,Organic,Occasional
U320,2025-04-25,Male,35-44,India,Delhi,Facebook,Premium
U321,2025-10-31,Female,45+,India,Pune,Facebook,Occasional
U322,2024-10-06,Prefer not to disclose,18-24,India,Delhi,Google Ads,Premium
U323,2024-12-12,Female,25-34,India,Delhi,Direct,Premium
U324,2026-03-23,Female,18-24,India,Bangalore,Direct,Premium
U325,2024-10-19,Female,18-24,India,Noida,Instagram,Regular
U326,2026-05-25,Female,35-44,India,Bangalore,Instagram,Premium
U327,2024-12-24,Male,18-24,India,Mumbai,Email,Regular
U328,2025-11-19,Female,18-24,India,Kolkata,Email,Premium
U329,2025-10-21,Female,45+,India,Hyderabad,Organic,Premium
U330,2025-01-27,Prefer not to disclose,25-34,India,Kolkata,Direct,Regular
U331,2026-04-11,Prefer not to disclose,18-24,India,Pune,Google Ads,Premium
U332,2024-08-31,Male,35-44,India,Pune,Direct,Premium
U333,2026-02-19,Prefer not to disclose,18-24,India,Jaipur,Google Ads,Regular
U334,2026-04-08,Female,25-34,India,Mumbai,Facebook,Regular
U335,2026-01-13,Prefer not to disclose,45+,India,Chennai,Direct,Occasional
U336,2024-12-23,Prefer not to disclose,35-44,India,Mumbai,Direct,Occasional
U337,2024-11-12,Male,25-34,India,Bangalore,Facebook,Occasional
U338,2025-10-07,Prefer not to disclose,18-24,India,Pune,Instagram,Occasional
U339,2026-04-03,Female,45+,India,Pune,Organic,Premium
U340,2026-04-15,Male,45+,India,Hyderabad,Email,Occasional
U341,2025-07-13,Male,25-34,India,Kolkata,Instagram,Regular
U342,2025-02-03,Prefer not to disclose,35-44,India,Pune,Direct,Regular
U343,2025-10-08,Male,45+,India,Hyderabad,Organic,Premium
U344,2026-03-10,Prefer not to disclose,25-34,India,Hyderabad,Organic,Occasional
U345,2025-01-21,Male,18-24,India,Chennai,Email,Premium
U346,2025-06-02,Male,35-44,India,Lucknow,Facebook,Occasional
U347,2024-10-05,Female,25-34,India,Noida,Instagram,Premium
U348,2025-06-21,Prefer not to disclose,45+,India,Pune,Email,Occasional
U349,2025-09-02,Male,45+,India,Delhi,Facebook,Premium
U350,2024-07-23,Male,35-44,India,Delhi,Direct,Regular
U351,2025-03-16,Prefer not to disclose,25-34,India,Delhi,Facebook,Regular
U352,2026-05-20,Prefer not to disclose,45+,India,Chennai,Google Ads,Occasional
U353,2026-02-04,Female,45+,India,Hyderabad,Direct,Occasional
U354,2025-06-17,Female,35-44,India,Hyderabad,Organic,Occasional
U355,2025-10-09,Prefer not to disclose,35-44,India,Delhi,Email,Premium
U356,2024-09-10,Prefer not to disclose,18-24,India,Lucknow,Facebook,Regular
U357,2025-07-18,Prefer not to disclose,45+,India,Lucknow,Instagram,Premium
U358,2026-05-17,Male,45+,India,Noida,Instagram,Premium
U359,2025-09-27,Prefer not to disclose,45+,India,Noida,Organic,Regular
U360,2025-06-23,Female,25-34,India,Kolkata,Email,Regular
U361,2026-05-16,Male,45+,India,Lucknow,Direct,Regular
U362,2025-04-16,Prefer not to disclose,18-24,India,Lucknow,Facebook,Premium
U363,2025-09-01,Female,35-44,India,Lucknow,Facebook,Regular
U364,2026-05-03,Female,25-34,India,Pune,Google Ads,Occasional
U365,2024-12-22,Prefer not to disclose,25-34,India,Noida,Email,Regular
U366,2025-12-08,Male,35-44,India,Jaipur,Direct,Premium
U367,2025-05-04,Prefer not to disclose,18-24,India,Bangalore,Email,Premium
U368,2024-10-23,Male,35-44,India,Pune,Organic,Premium
U369,2024-11-13,Male,45+,India,Chennai,Facebook,Premium
U370,2025-04-30,Prefer not to disclose,18-24,India,Mumbai,Email,Occasional
U371,2024-06-26,Female,45+,India,Mumbai,Organic,Premium
U372,2025-11-06,Male,18-24,India,Delhi,Google Ads,Premium
U373,2024-07-05,Male,35-44,India,Mumbai,Direct,Regular
U374,2026-03-01,Male,35-44,India,Mumbai,Google Ads,Regular
U375,2025-05-06,Prefer not to disclose,45+,India,Lucknow,Email,Premium
U376,2025-01-14,Female,18-24,India,Kolkata,Direct,Occasional
U377,2024-06-28,Female,35-44,India,Hyderabad,Email,Occasional
U378,2025-10-18,Prefer not to disclose,35-44,India,Noida,Google Ads,Premium
U379,2024-12-24,Male,45+,India,Chennai,Email,Premium
U380,2025-08-24,Female,18-24,India,Noida,Email,Occasional
U381,2026-03-07,Prefer not to disclose,35-44,India,Hyderabad,Facebook,Occasional
U382,2025-11-07,Prefer not to disclose,25-34,India,Delhi,Organic,Regular
U383,2025-07-27,Female,35-44,India,Kolkata,Email,Occasional
U384,2024-12-10,Male,18-24,India,Lucknow,Google Ads,Regular
U385,2025-01-29,Female,35-44,India,Hyderabad,Instagram,Premium
U386,2024-08-09,Male,25-34,India,Pune,Facebook,Premium
U387,2025-04-27,Male,35-44,India,Noida,Instagram,Regular
U388,2025-09-04,Prefer not to disclose,25-34,India,Chennai,Email,Premium
U389,2025-12-22,Female,45+,India,Hyderabad,Instagram,Premium
U390,2025-10-29,Prefer not to disclose,35-44,India,Pune,Google Ads,Occasional
U391,2024-12-12,Female,35-44,India,Pune,Google Ads,Occasional
U392,2025-09-20,Prefer not to disclose,35-44,India,Kolkata,Instagram,Regular
U393,2025-01-24,Prefer not to disclose,45+,India,Noida,Direct,Regular
U394,2024-07-22,Female,25-34,India,Jaipur,Instagram,Occasional
