order_id,user_id,product_id,order_date,quantity,unit_price,discount,shipping_cost,tax_amount,gross_revenue,net_revenue,payment_method,order_status
O33135,U10782,P150,2026-05-20 21:29:36,2,1754.98,148.05,197.57,605.14,3509.96,3361.91,UPI,Completed
O33136,U12991,P94,2026-05-19 07:20:33,3,4225.87,1462.8,124.74,2018.67,12677.61,11214.810000000001,UPI,Completed
O33137,U9583,P55,2026-05-22 14:35:33,2,10300.83,395.0,177.2,3637.2,20601.66,20206.66,Wallet,Completed
O33138,U12966,P10,2026-05-19 11:47:43,4,2953.4,1274.26,72.1,1897.08,11813.6,10539.34,Credit Card,Completed
O33139,U2329,P113,2026-05-21 00:56:46,1,6540.66,655.84,97.35,1059.27,6540.66,5884.82,Credit Card,Completed
O33140,U815,P69,2026-05-23 18:55:01,2,6229.13,499.67,119.25,2152.55,12458.26,11958.59,Wallet,Completed
O33141,U12456,P156,2026-05-24 02:19:23,1,3003.98,70.41,101.08,528.04,3003.98,2933.57,Credit Card,Completed
O33142,U4526,P138,2026-05-21 20:42:19,4,3415.15,1233.38,71.64,2236.9,13660.6,12427.220000000001,UPI,Completed
O33143,U12318,P107,2026-05-21 00:59:20,2,3143.12,234.51,111.41,1089.31,6286.24,6051.73,UPI,Completed
O33144,U5279,P71,2026-05-19 07:16:32,4,5014.6,2921.28,193.82,3084.68,20058.4,17137.120000000003,Credit Card,Completed
O33145,U7392,P157,2026-05-19 13:52:09,4,3666.44,1502.95,75.67,2369.31,14665.76,13162.81,UPI,Completed
O33146,U13020,P93,2026-05-19 19:33:55,2,2686.71,653.54,130.7,849.58,5373.42,4719.88,Debit Card,Completed
O33147,U12330,P168,2026-05-24 04:42:08,4,8036.01,2285.94,170.29,5374.46,32144.04,29858.100000000002,Debit Card,Completed
O33148,U10142,P103,2026-05-20 05:11:16,1,4765.94,145.99,51.42,831.59,4765.94,4619.95,Credit Card,Completed
O33149,U1248,P149,2026-05-23 23:32:59,3,7124.9,817.47,162.37,3700.3,21374.699999999997,20557.229999999996,Wallet,Completed
O33150,U10600,P125,2026-05-21 11:56:44,4,9424.08,881.33,109.57,6626.7,37696.32,36814.99,Debit Card,Completed
O33151,U10261,P48,2026-05-24 01:36:38,2,7867.12,1802.74,99.02,2507.67,15734.24,13931.5,Credit Card,Completed
O33152,U13556,P136,2026-05-19 16:27:00,2,7830.74,144.65,158.11,2793.03,15661.48,15516.83,Wallet,Completed
O33153,U3041,P40,2026-05-20 04:10:12,1,9855.58,654.86,160.01,1656.13,9855.58,9200.72,Debit Card,Completed
O33154,U1511,P191,2026-05-24 19:10:31,3,6590.48,2750.33,143.83,3063.8,19771.44,17021.11,Debit Card,Completed
O33155,U14579,P57,2026-05-23 04:53:53,2,10827.04,633.4,149.42,3783.72,21654.08,21020.68,Wallet,Completed
O33156,U13638,P19,2026-05-23 22:04:29,3,8008.77,433.22,64.53,4246.76,24026.31,23593.09,Debit Card,Completed
O33157,U7847,P134,2026-05-21 20:15:15,2,7470.41,67.55,155.06,2677.19,14940.82,14873.27,UPI,Completed
O33158,U7430,P95,2026-05-22 09:34:35,2,5489.56,88.14,98.05,1960.38,10979.12,10890.980000000001,Credit Card,Completed
O33159,U3192,P146,2026-05-24 18:40:11,2,7601.69,607.92,120.58,2627.18,15203.38,14595.46,Debit Card,Completed
O33160,U818,P17,2026-05-24 04:26:16,4,3589.68,295.27,117.38,2531.42,14358.72,14063.449999999999,Wallet,Completed
O33161,U5361,P11,2026-05-22 20:07:10,2,3810.62,269.5,174.9,1323.31,7621.24,7351.74,Credit Card,Completed
O33162,U539,P160,2026-05-22 19:23:12,3,4651.69,1610.27,61.84,2222.06,13955.07,12344.8,UPI,Completed
O33163,U13592,P186,2026-05-22 15:31:29,2,3891.87,301.33,65.15,1346.83,7783.74,7482.41,UPI,Completed
O33164,U10253,P166,2026-05-19 11:54:07,3,5773.11,1693.06,158.86,2812.73,17319.329999999998,15626.269999999999,Wallet,Completed
O33165,U12226,P133,2026-05-20 14:43:17,1,2585.59,60.69,128.04,454.48,2585.59,2524.9,UPI,Completed
O33166,U7624,P27,2026-05-20 00:21:03,1,2843.75,235.24,176.91,469.53,2843.75,2608.51,Debit Card,Completed
O33167,U6551,P150,2026-05-23 08:51:27,1,1754.98,140.75,67.67,290.56,1754.98,1614.23,Wallet,Completed
O33168,U3315,P126,2026-05-20 07:17:40,1,8587.72,59.97,159.68,1535.0,8587.72,8527.75,Wallet,Completed
O33169,U13791,P81,2026-05-19 18:07:18,4,2396.31,21.68,170.38,1721.44,9585.24,9563.56,UPI,Completed
O33170,U1075,P118,2026-05-23 21:24:14,4,2468.14,721.78,101.77,1647.14,9872.56,9150.779999999999,UPI,Completed
O33171,U321,P96,2026-05-22 07:13:47,2,10799.4,3163.5,198.17,3318.35,21598.8,18435.3,Credit Card,Completed
O33172,U632,P191,2026-05-20 05:18:07,1,6590.48,360.86,95.68,1121.33,6590.48,6229.62,Debit Card,Completed
O33173,U14303,P116,2026-05-24 05:13:04,2,3433.76,9.92,149.73,1234.37,6867.52,6857.6,Debit Card,Completed
O33174,U8849,P16,2026-05-24 01:32:38,3,5839.63,2050.69,111.61,2784.28,17518.89,15468.199999999999,Debit Card,Completed
O33175,U8570,P99,2026-05-19 01:10:26,3,9428.55,1908.3,147.69,4747.92,28285.649999999998,26377.35,Credit Card,Completed
O33176,U11807,P152,2026-05-20 03:57:22,3,4007.76,735.87,71.34,2031.73,12023.28,11287.41,Debit Card,Completed
O33177,U6878,P96,2026-05-23 03:23:00,4,10799.4,6205.24,92.03,6658.62,43197.6,36992.36,Debit Card,Completed
O33178,U6432,P66,2026-05-23 03:49:26,4,4580.79,983.22,121.13,3121.19,18323.16,17339.94,Wallet,Completed
O33179,U10944,P96,2026-05-19 15:26:28,3,10799.4,403.09,139.57,5759.12,32398.199999999997,31995.109999999997,UPI,Completed
O33180,U7063,P13,2026-05-22 14:44:04,2,5581.09,1109.17,118.87,1809.54,11162.18,10053.01,Wallet,Completed
O33181,U10938,P103,2026-05-22 08:18:33,2,4765.94,545.86,159.04,1617.48,9531.88,8986.019999999999,Wallet,Completed
O33182,U2202,P87,2026-05-21 14:50:23,2,2292.48,507.22,132.7,733.99,4584.96,4077.74,UPI,Completed
O33183,U14613,P25,2026-05-19 14:23:54,2,7397.83,944.47,198.63,2493.21,14795.66,13851.19,Wallet,Completed
O33184,U9421,P44,2026-05-21 21:23:33,2,4498.06,240.84,55.91,1575.95,8996.12,8755.28,Debit Card,Completed
O33185,U1239,P70,2026-05-21 20:42:08,3,5061.26,1638.09,68.9,2438.22,15183.78,13545.69,Debit Card,Completed
O33186,U11809,P47,2026-05-19 23:06:05,1,1976.08,63.26,113.27,344.31,1976.08,1912.82,Credit Card,Completed
O33187,U8826,P196,2026-05-23 21:14:41,2,2838.89,718.21,151.45,892.72,5677.78,4959.57,UPI,Completed
O33188,U7959,P128,2026-05-19 17:26:55,1,3849.32,19.28,76.49,689.41,3849.32,3830.04,UPI,Completed
O33189,U2657,P62,2026-05-24 10:49:02,1,3122.53,96.96,115.17,544.6,3122.53,3025.57,Debit Card,Completed
O33190,U2714,P15,2026-05-19 18:51:40,1,11601.18,1675.87,53.14,1786.56,11601.18,9925.310000000001,Wallet,Completed
O33191,U9391,P135,2026-05-22 02:56:10,1,4426.35,325.38,60.33,738.17,4426.35,4100.97,UPI,Completed
O33192,U14391,P111,2026-05-21 13:18:01,4,3402.45,1715.72,114.5,2140.93,13609.8,11894.08,UPI,Completed
O33193,U8589,P134,2026-05-23 13:41:43,1,7470.41,730.93,70.36,1213.11,7470.41,6739.48,Credit Card,Completed
O33194,U356,P33,2026-05-22 01:30:38,1,7743.7,118.75,50.82,1372.49,7743.7,7624.95,UPI,Completed
O33195,U14118,P15,2026-05-21 21:54:05,3,11601.18,3795.0,61.43,5581.54,34803.54,31008.54,Wallet,Completed
O33196,U12158,P143,2026-05-23 21:45:19,4,8470.11,3920.88,194.87,5392.72,33880.44,29959.56,UPI,Completed
O33197,U10193,P10,2026-05-20 12:21:11,3,2953.4,1291.19,134.18,1362.42,8860.2,7569.01,Wallet,Completed
O33198,U8828,P46,2026-05-21 01:57:57,1,4481.42,211.48,117.0,768.59,4481.42,4269.9400000000005,Credit Card,Completed
O33199,U12058,P150,2026-05-21 02:32:52,4,1754.98,889.52,148.86,1103.47,7019.92,6130.4,Debit Card,Completed
O33200,U3894,P18,2026-05-19 08:33:17,4,4643.1,1602.5,198.39,3054.58,18572.4,16969.9,Wallet,Completed
O33201,U14281,P187,2026-05-23 11:07:31,4,9244.08,2259.56,88.49,6249.02,36976.32,34716.76,Debit Card,Completed
O33202,U12176,P86,2026-05-20 04:49:16,1,6846.79,555.77,186.52,1132.38,6846.79,6291.02,Debit Card,Completed
O33203,U2994,P199,2026-05-19 18:29:54,4,2291.67,1305.85,100.19,1414.95,9166.68,7860.83,Debit Card,Completed
O33204,U2354,P56,2026-05-24 03:01:09,4,8404.45,873.41,137.77,5893.99,33617.8,32744.390000000003,UPI,Completed
O33205,U13900,P144,2026-05-19 23:22:32,2,2217.58,270.52,81.72,749.64,4435.16,4164.639999999999,UPI,Completed
O33206,U14358,P53,2026-05-22 04:58:00,1,9161.56,28.78,126.08,1643.9,9161.56,9132.779999999999,UPI,Completed
O33207,U3497,P36,2026-05-20 10:20:33,4,8916.32,3627.63,89.32,5766.78,35665.28,32037.649999999998,Debit Card,Completed
O33208,U1387,P145,2026-05-20 13:00:13,3,7130.0,1743.5,142.18,3536.37,21390.0,19646.5,Wallet,Completed
O33209,U5712,P148,2026-05-22 18:57:30,1,6336.6,393.42,127.52,1069.77,6336.6,5943.18,Wallet,Completed
O33210,U6440,P200,2026-05-21 08:30:36,2,1955.42,110.73,113.24,684.02,3910.84,3800.11,Wallet,Completed
O33211,U3628,P24,2026-05-23 05:20:30,3,3865.81,480.23,197.2,2001.1,11597.43,11117.2,Debit Card,Completed
O33212,U4540,P121,2026-05-24 15:24:37,1,7419.98,126.72,199.02,1312.79,7419.98,7293.259999999999,Credit Card,Completed
O33213,U10803,P13,2026-05-23 16:40:13,4,5581.09,320.37,169.75,3960.72,22324.36,22003.99,Debit Card,Completed
O33214,U6678,P139,2026-05-20 10:58:55,2,8566.93,1133.89,86.28,2879.99,17133.86,15999.970000000001,Credit Card,Completed
O33215,U4107,P153,2026-05-22 15:36:31,3,5732.69,913.28,107.54,2931.26,17198.07,16284.789999999999,Credit Card,Completed
O33216,U1710,P115,2026-05-23 01:27:53,4,10432.56,922.3,168.82,7345.43,41730.24,40807.939999999995,Credit Card,Completed
O33217,U2424,P13,2026-05-19 00:55:47,2,5581.09,929.79,150.85,1841.83,11162.18,10232.39,Credit Card,Completed
O33218,U14122,P185,2026-05-23 11:23:03,2,2234.95,616.26,152.93,693.66,4469.9,3853.6399999999994,Credit Card,Completed
O33219,U7547,P113,2026-05-21 12:43:35,1,6540.66,453.76,180.48,1095.64,6540.66,6086.9,Wallet,Completed
O33220,U2983,P88,2026-05-23 11:10:45,1,4780.5,342.72,64.33,798.8,4780.5,4437.78,Wallet,Completed
O33221,U4292,P27,2026-05-21 18:03:29,3,2843.75,1080.85,111.77,1341.07,8531.25,7450.4,Wallet,Completed
O33222,U14728,P5,2026-05-20 11:36:11,1,11863.73,819.04,60.47,1988.04,11863.73,11044.689999999999,Debit Card,Completed
O33223,U696,P9,2026-05-20 05:53:17,3,4609.36,104.43,135.74,2470.26,13828.079999999998,13723.649999999998,UPI,Completed
O33224,U14688,P68,2026-05-22 09:00:40,1,7541.87,935.53,177.09,1189.14,7541.87,6606.34,UPI,Completed
O33225,U12339,P177,2026-05-20 13:08:49,1,4516.64,610.58,128.04,703.09,4516.64,3906.0600000000004,Debit Card,Completed
O33226,U9023,P180,2026-05-19 19:44:37,2,4127.59,403.03,84.23,1413.39,8255.18,7852.150000000001,UPI,Completed
O33227,U10954,P173,2026-05-21 04:05:15,3,9496.43,2362.03,97.17,4702.91,28489.29,26127.260000000002,Wallet,Completed
O33228,U3322,P189,2026-05-21 12:56:06,1,2969.48,209.04,113.77,496.88,2969.48,2760.44,Debit Card,Completed
O33229,U9456,P193,2026-05-22 11:21:02,1,8877.08,1195.57,141.96,1382.67,8877.08,7681.51,Wallet,Completed
O33230,U554,P87,2026-05-22 17:53:25,3,2292.48,528.98,142.3,1142.72,6877.4400000000005,6348.460000000001,Wallet,Completed
O33231,U13186,P171,2026-05-21 03:02:36,4,2918.52,1119.21,57.02,1899.88,11674.08,10554.869999999999,Wallet,Completed
O33232,U5896,P84,2026-05-23 17:15:01,3,6942.35,539.0,96.2,3651.85,20827.050000000003,20288.050000000003,Wallet,Completed
O33233,U13510,P81,2026-05-19 14:48:54,2,2396.31,299.35,190.11,808.79,4792.62,4493.2699999999995,Credit Card,Completed
O33234,U7607,P90,2026-05-24 16:35:18,4,6709.73,2527.25,119.57,4376.1,26838.92,24311.67,Debit Card,Completed
O33235,U5709,P115,2026-05-19 19:08:28,2,10432.56,2449.98,154.77,3314.73,20865.12,18415.14,Debit Card,Completed
O33236,U3643,P109,2026-05-18 22:53:36,2,2309.76,336.76,146.47,770.9,4619.52,4282.76,UPI,Completed
O33237,U9266,P52,2026-05-21 00:06:12,4,2177.52,569.53,99.73,1465.3,8710.08,8140.55,Wallet,Completed
O33238,U5588,P27,2026-05-22 15:56:17,4,2843.75,1640.99,158.39,1752.12,11375.0,9734.01,UPI,Completed
O33239,U9561,P19,2026-05-24 11:10:21,2,8008.77,1229.27,72.14,2661.89,16017.54,14788.27,Credit Card,Completed
O33240,U7423,P63,2026-05-22 19:18:31,3,2662.17,483.63,185.89,1350.52,7986.51,7502.88,UPI,Completed
O33241,U12309,P94,2026-05-24 13:36:35,2,4225.87,1052.74,189.8,1331.82,8451.74,7399.0,Debit Card,Completed
O33242,U5299,P141,2026-05-19 12:21:54,3,7788.0,316.92,58.59,4148.47,23364.0,23047.08,Credit Card,Completed
O33243,U4896,P113,2026-05-23 01:25:33,4,6540.66,3087.02,182.17,4153.61,26162.64,23075.62,Wallet,Completed
O33244,U12869,P49,2026-05-22 01:49:53,4,5632.99,2323.25,72.43,3637.57,22531.96,20208.71,Wallet,Completed
O33245,U14602,P86,2026-05-20 08:56:20,2,6846.79,1892.58,119.53,2124.18,13693.58,11801.0,Wallet,Completed
O33246,U1475,P89,2026-05-19 21:49:56,3,1918.81,788.64,96.98,894.2,5756.43,4967.79,Credit Card,Completed
O33247,U9753,P17,2026-05-22 17:12:59,1,3589.68,393.55,198.9,575.3,3589.68,3196.1299999999997,Credit Card,Completed
O33248,U6837,P15,2026-05-24 07:53:36,3,11601.18,4258.66,142.8,5498.08,34803.54,30544.88,Credit Card,Completed
O33249,U6287,P69,2026-05-18 21:39:55,3,6229.13,1552.15,71.75,3084.34,18687.39,17135.239999999998,UPI,Completed
O33250,U115,P136,2026-05-22 03:57:24,4,7830.74,4040.85,164.77,4910.78,31322.96,27282.11,Debit Card,Completed
O33251,U5708,P120,2026-05-21 15:38:15,2,10555.33,1302.19,133.16,3565.52,21110.66,19808.47,UPI,Completed
O33252,U6554,P194,2026-05-22 13:07:34,2,9100.36,493.81,117.7,3187.24,18200.72,17706.91,Wallet,Completed
O33253,U6193,P128,2026-05-20 13:55:39,4,3849.32,417.78,167.88,2696.31,15397.28,14979.5,Credit Card,Completed
O33254,U1285,P58,2026-05-23 10:17:29,2,4815.74,1018.12,172.92,1550.4,9631.48,8613.359999999999,Wallet,Completed
O33255,U10075,P193,2026-05-21 03:17:28,1,8877.08,414.46,93.08,1523.27,8877.08,8462.62,Wallet,Completed
O33256,U487,P140,2026-05-19 03:16:02,3,6111.57,1663.99,162.7,3000.73,18334.71,16670.719999999998,Credit Card,Completed
O33257,U6873,P198,2026-05-24 02:39:46,3,2455.49,503.21,138.54,1235.39,7366.469999999999,6863.259999999999,UPI,Completed
O33258,U7753,P140,2026-05-23 12:23:16,3,6111.57,111.81,130.43,3280.12,18334.71,18222.899999999998,UPI,Completed
O33259,U4987,P153,2026-05-21 18:46:33,4,5732.69,3029.46,180.65,3582.23,22930.76,19901.3,Wallet,Completed
O33260,U14804,P106,2026-05-23 07:22:23,1,6727.17,666.46,181.15,1090.93,6727.17,6060.71,Debit Card,Completed
O33261,U12113,P127,2026-05-21 11:03:30,2,6741.4,1376.39,184.47,2179.15,13482.8,12106.41,Credit Card,Completed
O33262,U953,P152,2026-05-21 20:52:50,1,4007.76,242.92,140.65,677.67,4007.76,3764.84,Debit Card,Completed
O33263,U13566,P99,2026-05-24 07:15:58,4,9428.55,5414.78,197.04,5813.9,37714.2,32299.42,Wallet,Completed
O33264,U4582,P76,2026-05-24 05:30:58,4,1624.83,769.23,167.56,1031.42,6499.32,5730.09,UPI,Completed
O33265,U12303,P38,2026-05-24 03:23:11,4,8116.07,1702.28,138.23,5537.16,32464.28,30762.0,Debit Card,Completed
O33266,U2715,P164,2026-05-24 02:15:14,1,2960.55,104.17,63.52,514.15,2960.55,2856.38,Wallet,Completed
O33267,U13175,P99,2026-05-24 10:42:49,3,9428.55,998.89,127.81,4911.62,28285.649999999998,27286.76,Debit Card,Completed
O33268,U10880,P152,2026-05-21 04:44:48,1,4007.76,150.88,162.63,694.24,4007.76,3856.88,Wallet,Completed
O33269,U14797,P127,2026-05-22 13:24:29,1,6741.4,141.39,86.87,1188.0,6741.4,6600.009999999999,UPI,Completed
O33270,U10954,P109,2026-05-20 17:45:30,3,2309.76,874.67,188.93,1089.83,6929.280000000001,6054.610000000001,Debit Card,Completed
O33271,U9900,P90,2026-05-21 02:59:21,1,6709.73,0.59,84.41,1207.65,6709.73,6709.139999999999,UPI,Completed
O33272,U2793,P194,2026-05-24 13:44:03,2,9100.36,962.62,190.31,3102.86,18200.72,17238.100000000002,Wallet,Completed
O33273,U14450,P169,2026-05-24 18:15:55,4,4330.92,466.06,126.77,3034.37,17323.68,16857.62,Wallet,Completed
O33274,U6649,P197,2026-05-22 06:46:55,1,5431.89,587.05,115.02,872.07,5431.89,4844.84,Wallet,Completed
